Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
852,Female Genital Mutilation Act 2003,SS.1(1) and 5,"Excise, infibulate or otherwise mutilate the whole or any part of a girl's labia majora labia minora or clitoris / CJS: FG03001",6 months or L5 or both,S 8/52,S 8/52,S 8/52,14 years,S 8/52,S 8/52,Yes,2009 or earlier
852,Female Genital Mutilation Act 2003,SS.2 and 5,"Aid, abet, counsel or procure a girl to excise, infibulate or otherwise mutilate the whole or any part of her own labia majora labia minora or clitoris / CJS: FG03002",6 months or L5 or both,S 8/52,S 8/52,S 8/52,14 years,S 8/52,S 8 /52,Yes,2009 or earlier
852,Female Genital Mutilation Act 2003,SS.3 and 5,"Aid, abet, counsel or procure a non-UK national or person who is not a permanent UK resident to do a relevant act of female genital mutilation outside the UK / CJS: FG03003",6 months or L5 or both,S 8/52,S 8/52,S 8/52,14 years,S 8/52,S 8/52,Yes,2009 or earlier
8204,Finance Act 1989,SS.182 & 182(A),Disclosing any information held in the exercise of tax or other function by authorised person / CJS: FN89001 Ð 3,6 months or L5 or both,S 82/04,S 82/04,S 82/04,2 years,S 82/04,S 82/04,Yes,2010
8202,Finance Act 2000,S.144,Fraudulent evasion of income tax / CJS: FN00001,6 months or L5 or both,S 82/02,S 82/02,S 82/02,7 years,S 82/02,S 82/02,Yes,2009 or earlier
19648,Finance Act 2003,S.94,Wilfully delaying or obstructing officer of the Inland Revenue in pursuance of power to inspect premises / CJS: FN03004,L1,-,S 196/48,S 196/48,-,-,S 196/48,No,2009 or earlier
8202,Finance Act 2003,S.95,Fraudulent evasion of tax / CJS: FN03005,6 months or L5 or both,S 82/02,S 82/02,S 82/02,7 years,S 82/02,S 82/02,Yes,2009 or earlier
9527,Finance Act 2003 ,Sch.13 P.53(1)(a) & (b) & (6),Falsification of documents / CJS: FN03001-3,L5,S 95/27,S 95/27,S 95/27,2 years,S 95/27,S 95/27,Yes,2009 or earlier
9999,Financial Services Act 1986,SS.3 & 4,Carrying on investment business in UK without authority / CJS: FS 86001,6 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
5103,Financial Services Act 1986,S.200(1),False or misleading statements / CJS: FS 86024,6 months or L5 or both,S 51/03,S 51/03,S 51/03,2 years,S 51/03,S 51/03,Yes,2009 or earlier
9976,Financial Services and Markets Act 2000,S.23(1),Carry on a regulated activity when not an authorised or exempt person,6 months or L5 or both,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00014,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
11401,Financial Services and Markets Act 2000,"S.24(1)(a), (b) or (c) & (3) or (4)",Summary offences,6 months or L5 or both,-,114/01,114/01,-,-,114/01,No,2012
11401,Financial Services and Markets Act 2000,,CJS: FS00018-20,,,114/01,114/01,-,-,114/01,No,2012
9976,Financial Services and Markets Act 2000,S.25,In the course of business communicate an invitation or inducement to engage in an investment activity,6 months or L5 or both,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00015,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
11401,Financial Services and Markets Act 2000,"SS.48(6) & (9), 56(4), 142 or 366(2) & (3)",Summary offences,L5,-,114/01,114/01,-,-,114/01,No,2012
11401,Financial Services and Markets Act 2000,,CJS: FS00021-23 & 40,,,114/01,114/01,-,-,114/01,No,2012
9976,Financial Services and Markets Act 2000,S.85(1) or (2) & (3),Offer or request admission of transferable securities to UK public when an approved prospectus was not made available,3 months or L5 or both,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00016-7,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,S.177(3) or (4) & (5),"Doing, causing or permitting the falsification, concealment, destruction or disposal of a document during a Part XI investigation or providing false or misleading information",6 months or L5 or both,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00024-6,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
11401,Financial Services and Markets Act 2000,S.131L(5) or S.177(6) or S.352(3) or (4) & (5),Summary offences,3 months or L5 or both,-,114/01,114/01,-,-,114/01,No,2012
11401,Financial Services and Markets Act 2000,,CJS: FS00027 & 38-9 & 61,,,114/01,114/01,-,-,114/01,No,2012
9976,Financial Services and Markets Act 2000,"S.191F(1), (2), (3) or (5) & (8)","Contravention of provisions for giving notice to the FSA of intention to acquire, increase, reduce or cease control over UK authorised person",L5,S 99/76,S 99/76,S 99/76,Fine,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00028-30 & 32,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,S.191F(4) & (9),"Making an acquisition in contravention of a warning, decision or final notice",L5,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00031,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
9508,Financial Services and Markets Act 2000,S.191F(6) & (8),Provide false information to the Financial Services Authority,L5,S 95/08,S 95/08,S 95/08,Fine,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00055,,S 95/08,S 95/08,S 95/08,,,,Yes,2012
9508,Financial Services and Markets Act 2000,S.191F(7) & (8),Breach of a direction contained in a restriction notice under S.191B,L5,S 95/08,S 95/08,S 95/08,Fine,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00056,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9976,Financial Services and Markets Act 2000,SS.203 or 204,Contravention of consumer credit restrictions,L5,S 99/76,S 99/76,S 99/76,Fine,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,,CJS: FS00033-4,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
9508,Financial Services and Markets Act 2000,S.346,Knowingly or recklessly giving an appointed auditor or actuary false or misleading information,6 months or L5 or both,S 95/08,S 95/08,S 95/08,2 years or fine or both,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00001,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9976,Financial Services and Markets Act 2000,S.352(1) & (2),Disclosing information in contravention of SS.348 or 350(5),6 months or L5 or both,S 99/76,S 99/76,S 99/76,2 years or fine or both,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,S.352(1) & (2),CJS: FS00037 & 50-51,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,Yes,2012
9508,Financial Services and Markets Act 2000,S.397(2) or (3) & (8),"Making misleading, false or deceptive statements to induce someone to enter into or refrain from relevant agreement",6 months or L5 or both,S 95/08,S 95/08,S 95/08,7 years or fine or both,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00004-9,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,S.398(1) & (3),Knowingly or recklessly giving the Financial Services Authority false or misleading information,L5,S 95/08,S 95/08,S 95/08,Fine,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00010,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,Sch.3 pp.19 & 21,UK firm exercise EEA passport right to establish branch when condition not satisfied,L5,S 95/08,S 95/08,S 95/08,Fine,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,Sch.3 p.21,CJS: FS0041,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9976,Financial Services and Markets Act 2000,Sch.3 pp.20 & 21,UK firm exercise European Economic Area right to provide services when no notice given to Financial Services Authority,L5,S 99/76,S 99/76,S 99/76,Fine,S 99/76,S 99/76,Yes,2012
9976,Financial Services and Markets Act 2000,Sch.3 p.21,CJS: FS0057-9,,S 99/76,S 99/76,S 99/76,,S 99/76,S 99/76,,2012
9508,Financial Services and Markets Act 2000,Sch.4 p.6,Treaty firm failing to give Financial Services Authority 7 days' notice of carrying on of a regulated activity or providing false or misleading information,L5,S 95/08,S 95/08,S 95/08,Fine,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,,CJS: FS00011 & 49,,S 95/08,S 95/08,S 95/08,,S 95/08,S 95/08,Yes,2012
9508,Financial Services and Markets Act 2000,S.131L (3) & (4),Knowingly / recklessly provide false / misleading information in purported compliance with s.131E / 131F requirement / CJS: FS00060,3 months or L5 or both,S 95/08,S 95/08,S 95/08,2 years or fine or both,S 95/08,S 95/08,Yes,2012
19630,Fire and Rescue Services Act 2004,,Summary Offences / CJS:,51 weeks [3 months] or L4 or both* ,-,196/30,196/30,-,-,196/30,No,2009 or earlier
5339,Fire and Rescue Services Act 2004,S.34(6) & (7),Obtaining an award or a sum by deliberately committing an act or making an omission / CJS:,12 months [3 months] or L5 or both* ,S 53/39,S 53/39,S 53/39,2 years,S 53/39,S 53/39,Yes,2009 or earlier
8103,Firearms Act 1968 as amended by Criminal Justice and Public Order Act 1994,S.1(1) ,Possessing etc firearm or ammunition without firearm certificate (Group 1) / CJS: FI68001+,6 months or L5 or both,S 81/03,S 81/03,S 81/03,7 years,S 81/03,S 81/03,Yes,2009 or earlier
11504,Firearms Act 1968,S.1(2),Non-compliance with condition of firearm certificate / CJS: FI68013,6 months or L5 or both,-,115/04,115/04,-,-,115/04,No,2009 or earlier
8104,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.2 (1) ,Possessing etc shot gun without certificate (Group 1) / CJS: FI68014+,6 months or L5 or both,S 81/04,S 81/04,S 81/04,5 years,S 81/04,S 81/04,Yes,2009 or earlier
11506,Firearms Act 1968,S.2 (2) ,Non-compliance with condition of shotgun certificate (Group II) / CJS: FI68017,6 months or L5 or both,-,115/06,115/06,-,-,115/06,No,2009 or earlier
8107,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (1) ,Trading in firearms without being registered (Group I) / CJS: FI68366+,6 months or L5 or both,S 81/07,S 81/07,S 81/07,5 years,S 81/07,S 81/07,Yes,2009 or earlier
8108,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (1) ,Trading in firearms without being registered (Group II) / CJS: FI68368+,6 months or L5 or both,S 81/08,S 81/08,S 81/08,5 years,S 81/08,S 81/08,Yes,2009 or earlier
8109,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (2) ,Selling firearm(s) to person without certificate (Group 1) / CJS: FI68020+,6 months or L5 or both,S 81/09,S 81/09,S 81/09,5 years,S 81/09,S 81/09,Yes,2009 or earlier
8110,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (2) ,Selling firearm(s) to person without certificate (Group II) / CJS: FI68024,6 months or L5 or both,S 81/10,S 81/10,S 81/10,5 years,S 81/10,S 81/10,Yes,2009 or earlier
8176,Firearms Act 1968 / added by / Violent Crime Reduction Act 2006,S.3(2),Selling or transferring an air weapon unlawfully / CJS: FI68436,6 months or L5 or both ,S 81/76,S 81/76,S 81/76,5 years,S 81/76,S 81/76,Yes,2009 or earlier
8111,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (3) ,"Repairing, testing etc firearm without certificate
(Group 1) / CJS: FI68026-27",6 months or L5 or both,S 81/11,S 81/11,S 81/11,5 years,S 81/11,S 81/11,Yes,2009 or earlier
8112,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (3) ,"Repairing, testing etc firearm without certificate (Group II) / CJS: FI68028-29",6 months or L5 or both,S 81/12,S 81/12,S 81/12,5 years,S 81/12,S 81/12,Yes,2009 or earlier
8113,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (5) ,Falsifying certificate etc with a view to acquiring firearm (Group 1) / CJS: FI68372+,6 months or L5 or both,S 81/13,S 81/13,S 81/13,5 years,S 81/13,S 81/13,Yes,2009 or earlier
8114,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.3 (5) ,"Falsifying certificate etc with a view to acquiring firearm
(Group II) / CJS: FI68374+",6 months or L5 or both,S 81/14,S 81/14,S 81/14,5 years,S 81/14,S 81/14,Yes,2009 or earlier
15706,Firearms Act 1968,S.3 (6) ,"Taking firearms or ammunition in pawn
(Group I) / CJS: FI68032",3 months or L3 or both,-,157/06,157/06,-,-,157/06,No,2009 or earlier
15707,Firearms Act 1968,S.3 (6) ,"Pawnbroker taking shotgun in pawn
(Group II) / CJS: FI68033",3 months or L3 or both,-,157/07,157/07,-,-,157/07,No,2009 or earlier
8115,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.4 (1) ,Shortening shot gun or other smooth bore gun / CJS: FI68034,6 months or L5 or both,S 81/15,S 81/15,S 81/15,7 years,S 81/15,S 81/15,Yes,2009 or earlier
8116,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994 / Firearms Act 1968 / as amended by / Criminal Justice Act 2003,"S.4(3) / S.5(1) (a), (ab), (aba), (ac), (ad), (ae), (af) or (c) ","Conversion of firearms / CJS: FI68035 / Possessing or distributing prohibited weapons or ammunition
(Group 1) / CJS: FI68036+",6 months or L5 or both / -,S 81/16 / S 81/17,S 81/16 / S 81/17,S 81/16 / -,7 years / 10 years,S 81/16 / S 81/17,S 81/16 / -,Yes,2009 or earlier
8170,Firearms Act 1968 / as amended by / Criminal Justice Act 2003 / Firearms Act 1968 / as amended by / Criminal Justice Act 2003 / Firearms Act 1968 / as amended by / Criminal Justice Act 2003,"S.5 (1) (b) / S.5(1A)(a) / S.5(1A) (b),(c),(d),(e),(f) or (g)","Possessing or distributing prohibited weapons designed for discharge of noxious liquid etc.
(Group I) / CJS: FI168247-51 / Possessing or distributing firearm disguised as other object
(Group I) / CJS: / Possessing or distributing other prohibited weapons / CJS: ",6 months or L5 or both / - / 6 months or L5 or both,S 81/70 / S 81/71 / S 81/72,S 81/70 / S 81/71 / S 81/72,S 81/70 / - / -,10 years,S 81/70 / S 81/71 / S 81/72,S 81/70 / - / S 81/72,Yes,2009 or earlier
11518,Firearms Act 1968,S.5 (5) ,"Failure of an individual to comply with any condition of an authority vested in him
(Group I) / CJS: FI68048",6 months or L5 or both,-,115/18,115/18,-,-,115/18,No,2009 or earlier
11519,Firearms Act 1968,S.5 (6) ,"Non-compliance to surrender an authority
(Group I) / CJS: FI68049",L3,-,115/19,115/19,-,-,115/19,No,2009 or earlier
11520,Firearms Act 1968,S.6 (3) ,Restricting removal of firearms (Group I) / CJS: FI68050-51,3 months or L3 or both,-,115/20,115/20,-,-,115/20,No,2009 or earlier
11521,Firearms Act 1968,S.7(2) ,Making false statement to obtain permit (Group I) / CJS: FI68052,6 months or L5 or both,-,115/21,115/21,-,-,115/21,No,2009 or earlier
11522,Firearms Act 1968 ,S.7(2),Making false statement to obtain permit (Group II) / CJS: FI68053,6 months or L5 or both,-,115/22,115/22,-,-,115/22,No,2009 or earlier
11592,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1988,S.9(3),"Making false statement to obtain permit to auction firearms etc
(Group I) / CJS: ",6 months or L5 or both,-,115/92,115/92,-,-,115/92,No,2009 or earlier
11593,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1988,S.9(3) ,"Making false statement to obtain permit to auction firearms etc
(Group II) / CJS: FI68055",6 months or L5 or both,-,115/93,115/93,-,-,115/93,No,2009 or earlier
11525,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1994 / Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1994 / Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1994 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968 / Firearms Act 1968,S.13(2) / S.16 / S.16 / S.16 / S.16A / S.16A / S.16A / S.17(1) / S.17(1) / S.17(1) / S.17(2) / S.17(2) / S.17(2) / S.18(1) / S.18(1) / S.18(1) ,"Making false statement to obtain permit for removal of signalling apparatus
(Group I) / CJS: FI68056-57 / Possession of firearm with intent to endanger life
(Group I) / CJS: FI68059-63 / Possession of firearm with intent to endanger life
(Group II) / CJS: FI68061 / Possession of firearm with intent to endanger life
(Group III) / CJS: FI68062 / Possession of a firearm or imitation firearm with intent to cause fear of violence
(Group I) / CJS: FI68320+ / Possession of a firearm or imitation firearm with intent to cause fear of violence
(Group II) / CJS: FI68322+ / Possession of a firearm or imitation firearm with intent to cause fear of violence
(Group III) / CJS: FI68323 / Using firearms or imitation firearms to resist arrest
(Group 1) / CJS: FI68064-5 / Using firearms or imitation firearms to resist arrest
(Group II) / CJS: / Using firearms or imitation firearms to resist arrest
(Group III) / CJS: / Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in Schedule 1 of the Act
(Group I) / CJS: FI68068+ / Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in Schedule 1 of the Act
(Group II) / CJS: FI68070 / Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in schedule 1 of the Act
(Group III) / CJS: FI68071+ / Possessing firearm or imitation firearm with intent to commit an indictable offence or resist arrest
(Group I) / CJS: FI68076+ / Possessing firearm or imitation firearm with intent to commit an indictable offence or resist arrest
(Group II) / CJS: / Possessing firearm or imitation firearm with intent to commit an indictable offence or resist arrest
(Group III) / CJS: ",6 months or L5 or both / - / - / - / - / - / - / - / - / - / - / - / - / - / -,- / S 5/14 / S 5/15 / S 5/16 / S 8/23 / S 8/24 / S 8/25 / S 5/17 / S 5/18 / S 5/19 / S 8/13 / S 8/14 / S 8/15 / S 8/16 / S 8/17 / S 8/18,115/25 / S 5/14 / S 5/15 / S 5/16 / S 8/23 / S 8/24 / S 8/25 / S 5/17 / S 5/18 / S 5/19 / S 8/13 / S 8/14 / S 8/15 / S 8/16 / S 8/17 / S 8/18,115/25 / - / - / - / - / - / - / - / - / - / - / - / - / - / - / -,- / Life / Life / Life / 10 years / 10 years / 10 years / Life / Life / Life / Life / Life / Life / Life / Life / Life,- / S 5/14 / S 5/15 / S 5/16 / S 8/23 / S 8/24 / S 8/25 / S 5/17 / S 5/18 / S 5/19 / S 8/13 / S 8/14 / S 8/15 / S 8/16 / S 8/17 / S 8/18,115/25 / - / - / - / - / - / - / - / - / - / - / - / - / - / - / -,No / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes / Yes,2009 or earlier
8126,Firearms Act 1968 / as amended by / Anti-Social Behaviour Act 2003,S.19 ,"Carrying loaded or unloaded firearm and ammunition in public place etc. [any other firearm (not imitation firearm or an air weapon or loaded shotgun) (whether loaded or not) together with ammunition suitable for use in that firearm]
(Group I) / CJS: FI68088",6 months or L5 or both,S 81/26,S 81/26,S 81/26,7 years,S 81/26,S 81/26,Yes,2009 or earlier
8127,Firearms Act 1968 / as amended by / Anti-Social Behaviour Act 2003,S.19 ,Carrying loaded or unloaded firearm in public place etc. [loaded shot gun (not imitation firearm or an air weapon)] (Group II) / CJS: FI68089,6 months or L5 or both,S 81/27,S 81/27,S 81/27,7 years,S 81/27,S 81/27,Yes,2009 or earlier
8177,Firearms Act 1968 / as amended by / Anti-Social Behaviour Act 2003 / as amended by / Violent Crime Reduction Act 2006,S.19 ,"Carrying a loaded or unloaded or imitation firearm or air weapon in public place (was 115/28)
(Group III) / CJS: FI68435",6 months or L5 or both,S 81/77,S 81/77 ,S 81/77,7 years,S 81/77,S 81/77,Yes,2009 or earlier
8129,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.20(1) ,"Trespassing with firearm or imitation firearm in a building
(Group I) / CJS: FI68091+",6 months or L5 or both,S 81/29,S 81/29,S 81/29,7 years,S 81/29,S 81/29,Yes,2009 or earlier
8130,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.20(1),"Trespassing with firearm or imitation firearm in a building
(Group II) / CJS: FI68093",6 months or L5 or both,S 81/30,S 81/30,S 81/30,7 years,S 81/30,S 81/30,Yes,2009 or earlier
11531,Firearms Act 1968,S.20 (1),"Trespassing with firearm in a building
(Group III) / CJS: FI68094",6 months or L5 or both,-,115/31,115/31,-,-,115/31,No,2009 or earlier
11532,Firearms Act 1968,S.20(2) ,"Trespassing with firearm on land
(Group I) / CJS: FI68095-6",3 months or L4 or both,-,115/32,115/32,-,-,115/32,No,2009 or earlier
11533,Firearms Act 1968,S.20(2),"Trespassing with firearm on land
(Group II) / CJS: FI68097",3 months or L4 or both,-,115/33,115/33,-,-,115/33,No,2009 or earlier
11534,Firearms Act 1968,S.20 (2),"Trespassing with firearm on land
(Group III) / CJS: FI68098",3 months or L4 or both,-,115/34,115/34,-,-,115/34,No,2009 or earlier
19669,Firearms Act 1968 / added by / Violent Crime Reduction Act 2006,S.21A,Fire an air weapon beyond premises / CJS: FI68432,L3,-,196/69,196/69,-,-,196/69,No,2009 or earlier
8135,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.21(4) ,"Possession of firearms by persons previously convicted of crime
(Group I) / CJS: FI68099+& FI68302",6 months or L5 or both,S 81/35,S 81/35,S 81/35,5 years,S 81/35,S 81/35,Yes,2009 or earlier
8136,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.21(4),"Possession of firearms by persons previously convicted of crime
(Group II) / CJS: FI68101+ & FI68303+",6 months or L5 or both,S 81/36,S 81/36,S 81/36,5 years,S 81/36,S 81/36,Yes,2009 or earlier
8137,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.21(4),"Possession of firearms by persons previously convicted of crime
(Group III) / CJS: FI68102+ & FI68306+",6 months or L5 or both,S 81/37,S 81/37,S 81/37,5 years,S 81/37,S 81/37,Yes,2009 or earlier
8138,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.21(5),"Supplying firearms to person denied them under Section 21
(Group I) / CJS: FI68107",6 months or L5 or both,S 81/38,S 81/38,S 81/38,5 years,S 81/38,S 81/38,Yes,2009 or earlier
8139,Firearms Act 1968 / as amended by / Criminal Justice and Public Order Act 1994,S.21(5),"Supplying firearms to person denied them under Section 21
(Group II) / CJS: FI68108",6 months or L5 or both,S 81/39,S 81/39,S 81/39,5 years,S 81/39,S 81/39,Yes,2009 or earlier
8140,Firearms Act 1968,S.21(5),"Supplying firearms to person denied them under Section 21
(Group III) / CJS: FI68109",6 months or L5 or both,S 81/40,S 81/40,S 81/40,5 years,S 81/40,S 81/40,Yes,2009 or earlier
11541,Firearms Act 1968,S.22(1),"Person under 17 purchasing or hiring firearm or ammunition
(Group I) / CJS: FI68308+",6 months or L5 or both,-,115/41,115/41,-,-,115/41,No,2009 or earlier
11542,Firearms Act 1968,S.22 (1),"Person under 17 purchasing or hiring firearm or ammunition
(Group II) / CJS:",6 months or L5 or both,-,115/42,115/42,-,-,115/42,No,2009 or earlier
11543,Firearms Act 1968 / added by / Violent Crime Reduction Act 2006,S.22(1),"Person under 18 purchasing or hiring firearm or ammunition
(Group III) / CJS:FI68426-7 & FI68437-8",6 months or L5 or both,-,115/43,115/43,-,-,115/43,No,2009 or earlier
11544,Firearms Act 1968,S.22(2),"Person under 14 having firearm or ammunition in his possession
(Group I) / CJS: FI68116-7",6 months or L5 or both,-,115/44,115/44,-,-,115/44,No,2009 or earlier
11545,Firearms Act 1968,S.22(3),"Person under 15 having with him a shotgun without adult supervision
(Group II) / CJS: FI68118",L3,-,115/45,115/45,-,-,115/45,No,2009 or earlier
11546,Firearms Act 1968,S.22(4),"Person under 17 having with him an air weapon or ammunition
(Group III) / CJS: FI68119+",L3,-,115/46,115/46,-,-,115/46,No,2009 or earlier
11548,Firearms Act 1968,S.23(1),"Person under 17 making improper use of air weapon when under supervision
(Group III) / CJS: FI68123",L3,-,115/48,115/48,-,-,115/48,No,2009 or earlier
11549,Firearms Act 1968,S.23(1),"Person supervising permitting improper use of air weapon by person under 17
(Group III) / CJS: FI68191",L3,-,115/49,115/49,-,-,115/49,No,2009 or earlier
11550,Firearms Act 1968,S.24(1),"Selling or letting on hire a firearm or ammunition to person under 17
(Group I) / CJS: FI68124+",6 months or L5 or both,-,115/50,115/50,-,-,115/50,No,2009 or earlier
11551,Firearms Act 1968,S.24(1),"Selling or letting on hire a firearm or ammunition to person under 17
(Group lI) / CJS: FI68126+",6 months or L5 or both,-,115/51,115/51,-,-,115/51,No,2009 or earlier
11552,Firearms Act 1968 / added by / Violent Crime Reduction Act 2006,S.24(1),"Selling or letting on hire a firearm or ammunition to person under 18
(Group III) / CJS: FI68428-31",6 months or L5 or both,-,115/52,115/52,-,-,115/52,No,2009 or earlier
11553,Firearms Act 1968,S.24(2) ,"Making a gift or lending any firearm or ammunition to person under 14
(Group I) / CJS: FI68344+",6 months or L5 or both,-,115/53,115/53,-,-,115/53,No,2009 or earlier
11554,Firearms Act 1968,S.24(3),"Making gift of shotgun to person under 15
(Group II) / CJS: FI68347",L3,-,115/54,115/54,-,-,115/54,No,2009 or earlier
11555,Firearms Act 1968,S.24(4),"Supplying air weapon to person under 17
(Group III) / CJS: FI68348+",L3,-,115/55,115/55,-,-,115/55,No,2009 or earlier
19672,Firearms Act 1968 / added by / Violent Crime Reduction Act 2006,S.24A,Person under 18 purchasing an imitation firearm; selling an imitation firearm to person under 18 / CJS: FI68433-34,51 weeks [6 months] or L5 or both,-,196/72,196/72,-,-,196/72,No,2009 or earlier
11556,Firearms Act 1968,S.25,"Supplying firearm to person drunk or insane
(Group I) / CJS: EP90044-45",3 months or L3 or both,-,115/56,115/56,-,-,115/56,No,2009 or earlier
11557,Firearms Act 1968,S.25,"Supplying firearm to person drunk or insane
(Group II) / CJS: FI68146-7 & 152-153",3 months or L3 or both,-,115/57,115/57,-,-,115/57,No,2009 or earlier
11558,Firearms Act 1968,S.25,"Supplying firearm to person drunk or insane
(Group III) / CJS: FI68148-9 & 154-5",3 months or L3 or both,-,115/58,115/58,-,-,115/58,No,2009 or earlier
11559,Firearms Act 1968,S.28A(7),"Making false statement to obtain grant or renewal of firearm certificate
(Group I) / CJS: FI6835-7",6 months or L5 or both,-,115/59,115/59,-,-,115/59,No,2009 or earlier
11560,Firearms Act 1968,S.28A(7) ,"Making false statement to obtain grant or renewal of shot gun certificate
(Group II) / CJS: FI68168 & FI68351 & 8",6 months or L5 or both,-,115/60,115/60,-,-,115/60,No,2009 or earlier
11561,Firearms Act 1968,S.29 (3),"Making false statement to procure variation of a firearm certificate
(Group I) / CJS: FI68161",6 months or L5 or both,-,115/61,115/61,-,-,115/61,No,2009 or earlier
